régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
3,99031,ELYSEE,HAUTS DE FRANCE,"25, AVENUE DU MARECHAL JOFFRE",60141,Chantilly,10821,60,60402,Chantilly,37945,05-Unités urbaines de 20 000 à 100 000 hbts,4,520,53,4278,74263,73267,1.35941146764573%,De 50 à 80 000 entrées,,OUI,D,,FIXE,NON,C,220,163,107,53.0771841694386%,28.7203855814269%,16.6913312062996%,1.51109904283484%,107,33.4116541353383%,25.9018396578644%,49.191375,2.464237
4,99051,CINE LUMIERE,PAYS DE LA LOIRE,8 RUE TRAVOT,85051,Chantonnay,8927,85,85211,Chantonnay,8927,06-autres communes et unités urbaines,1,160,53,1087,24632,22964,7.2635429367706%,De 20 à 30 000 entrées,,OUI,E,JP,FIXE,NON,I,237,186,26,53.5603325216223%,34.8224032244521%,9.67335628516248%,1.94390796876312%,129,31.8483412322275%,21.6936770509699%,46.68832,-1.052512
4,99411,SALLE COMMUNALE,PAYS DE LA LOIRE,SALLE DE LA MAIRIE,85152,Les Achards,5445,85,85201,Les Achards,5445,06-autres communes et unités urbaines,1,,39,273,9753,7111,37.1537055266489%,De 5 à 10 000 entrées,,NON,NON,,ITINERANT,NON,C,69,31,0,78.4000845397866%,13.8116876254887%,7.35496142872239%,0.433266406002325%,30,28.4615384615385%,27.6867800908803%,46.587908,-1.642858
3,99631,JACQUES DEMY,PAYS DE LA LOIRE,RUE DU STADE,44029,Divatte-sur-Loire,7162,44,44215,Divatte-sur-Loire,7162,06-autres communes et unités urbaines,1,189,49,319,9163,9074,0.980824333259863%,De 5 à 10 000 entrées,,OUI,E,,FIXE,NON,I,196,164,0,66.2615101289134%,19.1528545119705%,12.5598526703499%,2.02578268876611%,117,52.8239202657807%,41.5101289134438%,47.270881,-1.337067
6,101491,SALLE DES FETES,AUVERGNE / RHONE-ALPES,3 PLACE DU 8 MAI 1945,69270,Chaponnay,4482,69,00760,Lyon,1714833,04-Unités urbaines de 100 000 hbts ou plus,1,,44,322,18087,15380,17.6007802340702%,De 10 à 20 000 entrées,,OUI,C,,ITINERANT,NON,B,140,97,3,67.8598854037451%,16.5928288735306%,11.518695729222%,4.02858999350227%,66,36.1563517915309%,37.39145844409%,45.626941,4.935433
6,101692,ALPHA,AUVERGNE / RHONE-ALPES,24 AVENUE LAMARTINE,69044,Charbonnières-les-Bains,5385,69,00760,Lyon,1714833,04-Unités urbaines de 100 000 hbts ou plus,1,300,47,807,36402,32517,11.9475966417566%,De 30 à 40 000 entrées,,OUI,C,,FIXE,NON,B,221,171,5,69.5388488385399%,14.9187550062936%,14.1978487241103%,1.34454743105619%,147,53.5064935064935%,40.9686462982035%,45.780835,4.739883
6,102173,CRYSTAL PALACE,BOURGOGNE / FRANCHE-COMTE,14 RUE DE BOURGOGNE,58059,La Charité-sur-Loire,4726,58,58107,La Charité-sur-Loire,4726,06-autres communes et unités urbaines,2,301,52,2085,18580,16958,9.56480717065692%,De 10 à 20 000 entrées,,OUI,E,RDJPPR,FIXE,NON,C,316,215,17,64.1185300494802%,20.970701061878%,9.60693834435982%,5.30383054428198%,233,60.1787487586892%,53.5219881025185%,47.176632,3.0219310999999607
3,102246,METROPOLIS,GRAND EST,RUE LONGUEVILLE,08105,Charleville-Mézières,47433,08,08501,Charleville-Mézières,59204,05-Unités urbaines de 20 000 à 100 000 hbts,10,2062,53,16326,303071,313461,-3.31460692079716%,De 300 à 450 000 entrées,,OUI,D,JP,FIXE,OUI,C,440,302,193,44.2681001175878%,37.7940534184445%,15.7564253317655%,2.18142113220225%,226,22.8407972440945%,14.0315807156056%,49.773265,4.716286
6,102284,LES HALLES,AUVERGNE / RHONE-ALPES,PLACE ST PHILIBERT,42052,Charlieu,3810,42,42205,Charlieu,9670,06-autres communes et unités urbaines,2,210,53,1731,32674,29924,9.18994786793209%,De 30 à 40 000 entrées,,OUI,E,JPPR,FIXE,NON,C,302,209,33,63.9368634149428%,25.4033023344088%,7.25311570823053%,3.40671854241792%,210,54.434250764526%,39.6185234389827%,46.158309,4.170764
6,102531,CINÉMA DE CHARMOILLE,BOURGOGNE / FRANCHE-COMTE,1 RUE DU CONOT,25125,Charmoille,328,25,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,212,48,291,11305,9311,21.415530018258%,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,R,194,157,0,72.0884103145367%,12.1091905166714%,14.3383394729385%,1.46405969585341%,96,44.7653429602888%,34.5234721828658%,47.246351,6.672576
6,102853,LE TIVOLI,BOURGOGNE / FRANCHE-COMTE,9 RUE DE LA CHAMPAGNY,71106,Charolles,3233,71,71106,Charolles,3233,06-autres communes et unités urbaines,2,233,51,951,20083,16545,21.3841039589%,De 20 à 30 000 entrées,,OUI,E,JP,FIXE,NON,I,226,183,2,68.5182335743961%,19.2388572600913%,10.3041493563112%,1.93875980920142%,121,39.5474137931034%,30.2918397702211%,46.435078,4.273364
3,103166,LES ENFANTS DU PARADIS,CENTRE-VAL DE LOIRE,13 PLACE DE LA PORTE ST MICHEL,28085,Chartres,39511,28,28501,Chartres,91292,05-Unités urbaines de 20 000 à 100 000 hbts,11,2020,53,16061,396033,390129,1.51334558569089%,De 300 à 450 000 entrées,,OUI,D,JPPR,FIXE,OUI,C,455,297,269,42.1732205337093%,41.170296099013%,14.6475011749961%,2.00898219228158%,222,31.6158363326388%,15.4055042038749%,48.442342,1.489294
3,103201,CINE ESPERANCE,BRETAGNE,3 RUE DE LA CONTERIE,35066,Chartres-de-Bretagne,8327,35,35701,Rennes,375022,04-Unités urbaines de 100 000 hbts ou plus,1,249,46,411,21018,21115,-0.459389059910017%,De 20 à 30 000 entrées,,OUI,C,,FIXE,NON,B,201,167,4,75.1539942252166%,11.7661212704524%,11.5062560153994%,1.57362848893167%,117,51.5892420537897%,47.0067372473532%,48.040732,-1.692346
4,103561,VOX,NOUVELLE AQUITAINE,PLACE DE L EGLISE,16085,Chasseneuil-sur-Bonnieure,3381,16,16103,Chasseneuil-sur-Bonnieure,3381,06-autres communes et unités urbaines,1,178,48,687,13291,12382,7.34130188984009%,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,I,237,185,0,62.255524511049%,22.1996443992888%,14.2832952332571%,1.26153585640505%,121,46.417445482866%,39.9796799593599%,45.823984,0.44846
4,103922,SALLE BELLE EPINE,PAYS DE LA LOIRE,1 PLACE DE LA REPUBLIQUE,85059,La Châtaigneraie,2638,85,85128,La Châtaigneraie,3996,06-autres communes et unités urbaines,1,160,48,435,6993,5707,22.5337305063957%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,C,112,93,5,67.0527670527671%,22.1936221936222%,9.99570999571%,0.757900757900758%,30,18.8505747126437%,13.3276133276133%,46.647373,-0.742446
7,103985,CINEMATOGRAPHE SLE CHAPLIN,PROVENCE-ALPES-COTE D'AZUR,CENTRE CULTUREL SIMONE SIGNORET,04049,Château-Arnoux-Saint-Auban,5172,04,04203,Château-Arnoux-Saint-Auban,7172,06-autres communes et unités urbaines,3,465,45,3347,55807,63388,-11.9596769104562%,De 50 à 80 000 entrées,,OUI,E,RDJP,FIXE,NON,C,240,172,86,53.1804135089397%,31.9825619895519%,13.0693105731734%,1.76771392833493%,158,41.4255254340542%,31.7158413656096%,44.068241,5.987231
3,104032,ETOILE,BRETAGNE,RUE DES TOURS CARREES,35068,Châteaubourg,7673,35,35222,Châteaubourg,9743,06-autres communes et unités urbaines,1,221,53,527,28216,26998,4.51144529224387%,De 20 à 30 000 entrées,,OUI,E,JP,FIXE,NON,C,259,202,5,54.6086633203198%,30.117122141662%,12.6343186465886%,2.63989589142963%,140,41.6334661354582%,26.3506227923406%,48.110334,-1.405013
3,104051,ATLANTIC CINE,PAYS DE LA LOIRE,PLACE ERNEST BREANT,44036,Châteaubriant,12474,44,44304,Châteaubriant,12474,06-autres communes et unités urbaines,4,748,52,3650,94479,85165,10.9364175424177%,De 80 à 100 000 entrées,,OUI,E,JP,FIXE,NON,I,244,167,76,55.1782202957121%,32.4935632108985%,10.900715923041%,1.4275005703484%,130,19.7147651006711%,12.4824821562429%,47.721188,-1.376037
6,104091,ETOILE CINEMA,BOURGOGNE / FRANCHE-COMTE,19 RUE DES FOSSES,58062,Château-Chinon (Ville),2317,58,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,185,50,579,7307,6005,21.6819317235637%,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,I,198,169,4,65.3035052721573%,20.1909375890567%,10.1453405528641%,4.36021658592192%,132,56.414762741652%,49.5155314904531%,47.064474,3.93279
3,104164,ES RECOLLETS,PAYS DE LA LOIRE,RUE DU THEATRE,72071,Montval-sur-Loir,6120,72,72205,Montval-sur-Loir,7381,06-autres communes et unités urbaines,1,127,50,497,17242,16486,4.58570908649763%,De 10 à 20 000 entrées,,OUI,E,JPPR,FIXE,NON,C,175,126,1,73.0630293971101%,11.4349775784753%,9.50423517688092%,5.99775784753363%,109,58.974358974359%,52.7341803687095%,47.696864,0.415325
3,104181,LE DUNOIS,CENTRE-VAL DE LOIRE,17 RUE DE VARIZE,28088,Châteaudun,13259,28,28301,Châteaudun,17477,06-autres communes et unités urbaines,3,412,52,2798,57480,53107,8.23431939292372%,De 50 à 80 000 entrées,,OUI,E,JP,FIXE,NON,C,227,169,77,51.0636753067596%,34.7927103753721%,12.9964423146736%,1.14717200319466%,101,14.9345930232558%,13.5264648224788%,48.071336,1.331864
3,104282,PARADISIO,BRETAGNE,2 RUE SAINTE CROIX,35069,Châteaugiron,10808,35,35301,Châteaugiron,14631,06-autres communes et unités urbaines,1,182,49,374,17511,17488,0.131518755718207%,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,C,200,157,2,63.3042050319629%,15.1604011494927%,19.2950560084453%,2.24033781009911%,101,48.4848484848485%,45.9738431763533%,48.045827,-1.499092
3,104301,PALACE,PAYS DE LA LOIRE,3 PLACE DU PILORI,53062,Château-Gontier,17535,53,53302,Château-Gontier-sur-Mayenne,17535,06-autres communes et unités urbaines,3,445,52,2679,82490,79629,3.59291213000289%,De 80 à 100 000 entrées,,OUI,E,JP,FIXE,NON,C,308,234,93,58.8757064261387%,28.2433224796337%,11.0420799181606%,1.83889117606697%,142,22.2942073170732%,14.1172948089375%,47.826896,-0.705609
3,104391,AGORA,BRETAGNE,5 PLACE DE LA RESISTANCE,29026,Châteaulin,5578,29,29205,Châteaulin,5983,06-autres communes et unités urbaines,1,194,53,758,22649,24375,-7.08102564102564%,De 20 à 30 000 entrées,,OUI,E,JP,FIXE,NON,C,263,214,5,56.1471119992388%,25.1831763250547%,16.5144162146731%,2.1552954610334%,147,49.5185694635488%,36.9350080883053%,48.194912,-4.094078
4,104642,COLISEE,NOUVELLE AQUITAINE,1 PLACE DU COLISEE,87040,Châteauneuf-la-Forêt,1542,87,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,210,47,286,4730,4870,-2.87474332648871%,De 2 à 5 000 entrées,,OUI,E,,FIXE,NON,R,172,142,1,60.5652173913044%,17.1739130434783%,16.195652173913%,6.06521739130435%,93,42.2939068100358%,35.5869565217391%,45.714496,1.608216
7,104661,ESPACE MARCEL PAGNOL,PROVENCE-ALPES-COTE D'AZUR,RUE ERASME GUICHET,13026,Châteauneuf-les-Martigues,17883,13,00759,Marseille-Aix-en-Provence,1635844,04-Unités urbaines de 100 000 hbts ou plus,1,120,45,1063,10900,10449,4.31620250741698%,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,B,125,103,3,36.4195632113196%,44.9912847329027%,12.0373218496873%,6.55183020609043%,54,35.1167315175097%,19.3786527222393%,43.383798,5.16491
3,104801,VOX,CENTRE-VAL DE LOIRE,28 PLACE DU VIEUX MARCHE,45083,Château-Renard,2139,45,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,62,53,651,10589,10310,2.70611057225994%,De 10 à 20 000 entrées,,OUI,E,JPPR,FIXE,NON,R,216,152,1,65.4772234273319%,17.472885032538%,11.5618221258135%,5.4880694143167%,136,57.9931972789116%,56.9848156182213%,47.931476,2.928439
7,104824,CINEMA LE REX,PROVENCE-ALPES-COTE D'AZUR,AVENUE LEO LAGRANGE,13027,Châteaurenard,16454,13,00754,Avignon,468293,04-Unités urbaines de 100 000 hbts ou plus,3,329,51,3046,49610,41821,18.6246144281581%,De 40 à 50 000 entrées,,OUI,C,,FIXE,NON,B,263,190,58,50.2525355382673%,34.7501120117307%,13.4699197588693%,1.52743269113274%,143,22.8684732319894%,18.9483116777321%,43.885453,4.855476
3,104851,LE BALZAC,CENTRE-VAL DE LOIRE,16 PLACE ARISTIDE BRIAND,37063,Château-Renault,4977,37,37205,Château-Renault,7250,06-autres communes et unités urbaines,1,216,49,1113,24838,22616,9.82490272373541%,De 20 à 30 000 entrées,,OUI,E,JPPR,FIXE,NON,C,271,188,6,57.0660863386037%,28.6418546811157%,11.8315864274294%,2.46047255285131%,156,47.0476190476191%,40.0071060579144%,47.592055,0.915712
3,104863,APOLLO,CENTRE-VAL DE LOIRE,4 RUE ALBERT 1ER,36044,Châteauroux,44890,36,36501,Châteauroux,62482,05-Unités urbaines de 20 000 à 100 000 hbts,1,328,49,1534,32575,32003,1.78733243758398%,De 30 à 40 000 entrées,,OUI,D,RDJPPR,FIXE,NON,C,205,91,23,73.5186002058521%,6.31892368769299%,15.9057491545361%,4.25672695191884%,188,98.4034833091437%,96.4490516100574%,46.810828,1.697689
3,104881,CGR CHATEAUROUX,CENTRE-VAL DE LOIRE,86 AVENUE CHARLES DE GAULLE,36044,Châteauroux,44890,36,36501,Châteauroux,62482,05-Unités urbaines de 20 000 à 100 000 hbts,8,1078,53,12161,172489,169915,1.51487508460112%,De 150 à 200 000 entrées,CGR,OUI,D,JPPR,FIXE,OUI,C,319,199,152,45.8347524810617%,39.6347407363909%,13.0659463268542%,1.46456045569323%,142,20.5938777212445%,7.31281930823889%,46.808819,1.690195
8,104933,SALLE SAINT JEAN,GRAND EST,2 RUE POINCARÉ,57132,Château-Salins,2542,57,57111,Château-Salins,2542,06-autres communes et unités urbaines,1,190,4,4,287,5607,-94.8813982521848%,Moins de 2000 entrées,,NON,NON,,FIXE,NON,I,3,0,0,100%,0%,0%,0%,3,100%,100%,48.822643,6.507084
3,104994,CINEMA THEATRE,HAUTS DE FRANCE,13 PLACE DE L HOTEL DE VILLE,02168,Château-Thierry,15618,02,02401,Château-Thierry,23011,05-Unités urbaines de 20 000 à 100 000 hbts,4,576,53,3178,82521,83347,-0.991037469854944%,De 80 à 100 000 entrées,,OUI,D,JP,FIXE,NON,C,189,134,51,39.8426517374898%,43.5482279823415%,15.2760993415049%,1.33302093866377%,94,19.6184419713831%,16.0011838113794%,49.046046,3.402936
6,105092,LE CHAMOIS,AUVERGNE / RHONE-ALPES,95 ROUTE DE VONNES,74063,Châtel,1248,74,74107,Abondance,3741,06-autres communes et unités urbaines,1,100,34,560,18869,2984,532.339142091153%,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,C,90,73,39,53.2979006112145%,35.6683497209673%,10.8317831517406%,0.201966516077598%,22,13.7745974955277%,7.55779962795642%,46.2662845,6.84154239999998
4,105375,LES 400 COUPS,NOUVELLE AQUITAINE,4 RUE AIME RASSETEAU,86066,Châtellerault,32345,86,86401,Châtellerault,41330,05-Unités urbaines de 20 000 à 100 000 hbts,1,129,51,1219,28145,26245,7.23947418555915%,De 20 à 30 000 entrées,,OUI,D,JPPR,FIXE,NON,C,182,107,44,74.4206418730589%,7.60531974197659%,12.2362029147089%,5.73783547025564%,164,96.2522851919561%,93.2268854025643%,46.810802,0.542436
4,105404,LOFT CINEMAS,NOUVELLE AQUITAINE,PLACE DU CHATELET,86066,Châtellerault,32345,86,86401,Châtellerault,41330,05-Unités urbaines de 20 000 à 100 000 hbts,7,946,53,7952,156758,151381,3.55196490973108%,De 150 à 200 000 entrées,,OUI,D,JP,FIXE,NON,C,300,202,162,49.4746361489366%,36.4612271718834%,12.652322986539%,1.411813692641%,112,16.8005098789038%,9.19110232070942%,46.820621,0.544345
2,105652,REX,ILE-DE-FRANCE,364 AVE DE LA DIVISION LECLERC,92019,Châtenay-Malabry,34748,92,00851,Paris,10947378,02-Petite Couronne,2,551,49,2712,53380,48857,9.25762940827312%,De 50 à 80 000 entrées,,OUI,C,JPPR,FIXE,NON,B,273,167,82,52.2118456623249%,30.9740312935201%,13.3611862046367%,3.45293683951831%,194,64.3606684803731%,52.6275907266323%,48.765842,2.259825
3,105931,LE VENDELAIS,BRETAGNE,1 PLACE DE L EGLISE,35072,Châtillon-en-Vendelais,1700,35,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,199,49,424,9896,8681,13.9960834005299%,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,R,205,167,0,61.9570522205954%,17.9721815519766%,11.9570522205954%,8.1137140068326%,117,52.8822055137845%,55.5636896046852%,48.22475,-1.179471
2,106031,CINEMA,ILE-DE-FRANCE,7BIS RUE DE LA MAIRIE,92020,Châtillon,36688,92,00851,Paris,10947378,02-Petite Couronne,1,185,46,669,22116,20453,8.13083655209505%,De 20 à 30 000 entrées,,OUI,C,JP,FIXE,NON,B,189,122,0,62.65373819852%,17.3309517734116%,15.3559581525899%,4.65935187547844%,124,62.1405750798722%,60.8828782852769%,48.800675,2.288049
6,106072,L'Etoile,AUVERGNE / RHONE-ALPES,RUE A BAUDIN,01093,Châtillon-sur-Chalaronne,5171,01,01130,Châtillon-sur-Chalaronne,5171,06-autres communes et unités urbaines,1,245,45,609,18985,17791,6.71125850148952%,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,I,190,154,5,68.1542344664626%,18.9141292089576%,11.6373986359487%,1.29423768863112%,106,42.8333333333333%,29.1015520111702%,46.119679,4.956909
6,106181,SELECT,BOURGOGNE / FRANCHE-COMTE,46 RUE DU MARECHAL,21154,Châtillon-sur-Seine,5690,21,21202,Châtillon-sur-Seine,5690,06-autres communes et unités urbaines,2,197,52,877,15283,14404,6.10247153568453%,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,I,213,173,4,66.7654320987654%,15.9435626102293%,15.2804232804233%,2.01058201058201%,108,43.9285714285714%,27.8871252204586%,47.858822,4.57312
2,106262,LOUIS JOUVET,ILE-DE-FRANCE,3 PLACE MAURICE BERTEAUX,78146,Chatou,30190,78,00851,Paris,10947378,03-Grande couronne,2,459,49,1872,56406,55156,2.26629922401915%,De 50 à 80 000 entrées,,OUI,C,JP,FIXE,NON,B,204,148,50,59.0466167050754%,21.0600809305195%,18.1894064490374%,1.70389591536773%,137,58.7465940054496%,49.004699776806%,48.886917,2.156299
3,106291,LUX,CENTRE-VAL DE LOIRE,PLACE DE L'HOTEL DE VILLE,36046,La Châtre,4165,36,36202,La Châtre,7482,06-autres communes et unités urbaines,1,193,50,548,19495,16672,16.9325815738964%,De 10 à 20 000 entrées,,OUI,E,,FIXE,NON,C,179,131,0,65.5317291427948%,17.8043324057402%,14.6505156326731%,2.01342281879195%,97,44.6768060836502%,36.312544333497%,48.7407435,2.764804799999979
6,106582,LA SOURCE,AUVERGNE / RHONE-ALPES,RUE ST JULIEN,15045,Chaudes-Aigues,829,15,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,250,52,242,4187,3562,17.5463222908478%,De 2 à 5 000 entrées,,OUI,E,,FIXE,NON,R,139,115,0,59.527950310559%,20.9192546583851%,17.0434782608696%,2.50931677018634%,50,30.0429184549356%,20.9192546583851%,44.855415,3.005081
6,106673,CINE ACTION PALACE,BOURGOGNE / FRANCHE-COMTE,50 RUE CENTRALE,71120,Chauffailles,3759,71,00257,Chauffailles,6333,06-autres communes et unités urbaines,1,147,53,954,12671,11240,12.7313167259786%,De 10 à 20 000 entrées,,OUI,E,JP,FIXE,NON,C,292,236,6,60.7122437311117%,20.6240300579923%,14.2122028914482%,4.45152331944785%,172,44.4086021505376%,31.4465408805031%,46.206256,4.339632
7,106681, SALLE POLYVALENTE,PROVENCE-ALPES-COTE D'AZUR,SALLE POLYVALENTE,05039,Chauffayer,730,05,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,,32,234,6119,4957,23.4415977405689%,De 5 à 10 000 entrées,,OUI,E,,ITINERANT,NON,R,29,10,1,91.9176450570019%,0.884805172707164%,2.65441551812149%,4.54313425216947%,24,82.1428571428571%,87.0342011230219%,44.76726,6.010559
3,107043,A L'AFFICHE,GRAND EST,7 PLACE EMILE GOGUENHEIM,52121,Chaumont,22966,52,52401,Chaumont,24186,05-Unités urbaines de 20 000 à 100 000 hbts,8,1134,53,10902,141268,141489,-0.156195888019563%,De 100 à 150 000 entrées,,OUI,D,JP,FIXE,OUI,C,384,272,216,51.1971549878434%,34.3230395180898%,12.9288384076641%,1.55096708640273%,191,27.749860413177%,17.1099902021265%,48.110117,5.13491
3,107251,LUMIERE,HAUTS DE FRANCE,PLACE YVES BRINON,02173,Chauny,11843,02,02302,Chauny,17586,06-autres communes et unités urbaines,3,380,53,3764,47271,46643,1.34639710138713%,De 40 à 50 000 entrées,,NON,NON,,FIXE,NON,C,257,211,131,45.4480980012895%,40.7479045776918%,12.7079303675048%,1.09606705351386%,110,17.1657754010695%,14.1758005587793%,49.622785,3.220456
4,107511,REX,NOUVELLE AQUITAINE,10 RUE DE ST SAVIN,86070,Chauvigny,7198,86,86205,Chauvigny,7198,06-autres communes et unités urbaines,2,218,48,749,19936,18199,9.54448046595967%,De 10 à 20 000 entrées,,OUI,E,RDJPPR,FIXE,NON,I,218,167,0,72.7569593147752%,16.9914346895075%,7.45182012847966%,2.79978586723769%,164,75.1054852320675%,61.3597430406852%,46.568169,0.647781
2,108192,ATRIUM,ILE-DE-FRANCE,3 PARVIS ROBERT SCHUMAN,92022,Chaville,20830,92,00851,Paris,10947378,02-Petite Couronne,1,643,45,313,15848,14162,11.9050981499788%,De 10 à 20 000 entrées,,NON,NON,,FIXE,NON,B,140,108,0,58.9318341531975%,20.0773014757554%,16.4862965565706%,4.50456781447646%,69,39.5973154362416%,41.742796907941%,48.813094,2.192579
6,108298,JEANNE D'ARC,AUVERGNE / RHONE-ALPES,9 RUE DES VARENNES,69052,Chazay-d'Azergues,4270,69,00760,Lyon,1714833,04-Unités urbaines de 100 000 hbts ou plus,1,195,37,101,6300,7577,-16.8536360036954%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,94,75,0,68.0669563817801%,11.733462095606%,17.8657653307581%,2.33381619185579%,42,42.8571428571429%,31.4501850957669%,45.877437,4.7121
4,108592,FOYER CULTUREL,NOUVELLE AQUITAINE,PLACE CAIL,79083,Chef-Boutonne,2514,79,79104,Chef-Boutonne,2514,06-autres communes et unités urbaines,1,146,50,422,7943,6932,14.5845354875938%,De 5 à 10 000 entrées,,OUI,E,JP,FIXE,NON,I,206,168,0,71.6251548094124%,15.2057245080501%,10.3206274941516%,2.84849318838585%,122,49.6259351620948%,41.4338791798541%,46.108833,-0.068552
2,108774,COSMOS,ILE-DE-FRANCE,22 AV DE LA RESISTANCE,77108,Chelles,54691,77,00851,Paris,10947378,03-Grande couronne,2,645,52,3653,76936,74634,3.08438513278131%,De 50 à 80 000 entrées,,OUI,C,JPPR,FIXE,NON,B,290,158,33,38.7014988093571%,42.8043143297381%,14.1294298921418%,4.36475696876313%,172,39.1204369071572%,27.9016669001261%,48.877872,2.586341
3,108932,CLUB,PAYS DE LA LOIRE,RUE DES VENELLES,49092,Chemillé-en-Anjou,21811,49,49401,Chemillé-en-Anjou,21811,05-Unités urbaines de 20 000 à 100 000 hbts,1,198,50,396,12784,12851,-0.521360205431484%,De 10 à 20 000 entrées,,OUI,D,,FIXE,NON,I,175,136,1,63.1896413060962%,22.534984719318%,11.0986006112273%,3.17677336335853%,85,38.4%,27.0146372848641%,47.212271,-0.72686
3,109792,CGR ODEON,NORMANDIE,51 RUE DU MARECHAL FOCH,50129,Cherbourg-en-Cotentin,80082,50,50501,Cherbourg-en-Cotentin,83077,05-Unités urbaines de 20 000 à 100 000 hbts,5,1025,53,7790,53195,58435,-8.96722854453667%,De 50 à 80 000 entrées,CGR,OUI,B,RDJPPR,FIXE,NON,C,462,297,263,62.824026145383%,14.0044252278586%,17.3334957270162%,5.8380528997422%,402,88.5714285714286%,80.7807076304732%,49.638968,-1.621407
3,109836,MEGA CGR,NORMANDIE,BOULEVARD FELIX AMIOT,50129,Cherbourg-en-Cotentin,80082,50,50501,Cherbourg-en-Cotentin,83077,05-Unités urbaines de 20 000 à 100 000 hbts,12,2487,53,21696,300900,308013,-2.30931811319652%,De 300 à 450 000 entrées,CGR,NON,NON,,FIXE,OUI,C,285,203,200,41.2744395399774%,41.5718333255189%,15.110484470552%,2.04324266395172%,43,8.93583579881657%,3.98869367770283%,49.642211,-1.613365
2,110351,GAUMONT DISNEY VILLAGE,ILE-DE-FRANCE,1 ESPLANADE FRANCOIS TRUFFAUT,77111,Chessy,6780,77,00851,Paris,10947378,03-Grande couronne,15,3923,53,27898,548783,709454,-22.6471342750904%,De 450 à 700 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,B,362,218,211,20.930532332555%,57.4342042265452%,18.7366032954972%,2.89866014540258%,73,11.1191834065894%,5.30343765882691%,48.880488,2.772675
2,110372,STUDIO 31,ILE-DE-FRANCE,31 PLACE D'ARIANE,77111,Chessy,6780,77,00851,Paris,10947378,03-Grande couronne,2,216,52,3730,61510,62387,-1.40574158077805%,De 50 à 80 000 entrées,,NON,NON,,FIXE,NON,B,233,156,33,21.4707415942005%,55.5060299732562%,18.7627201318689%,4.26050830067448%,115,21.7354910714286%,14.6973239365549%,48.856412,2.773682
2,110761,SALLE ANDRE MALRAUX,ILE-DE-FRANCE,102 AV DU GENERAL DE GAULLE,94021,Chevilly-Larue,20447,94,00851,Paris,10947378,02-Petite Couronne,1,405,48,513,15374,13923,10.4216045392516%,De 10 à 20 000 entrées,,OUI,C,JP,FIXE,NON,B,165,128,2,51.8960955664235%,27.3951735749218%,15.8742884630803%,4.83444239557444%,100,54.8098434004474%,54.6219834843261%,48.770432,2.350955
6,111071,VOX,AUVERGNE / RHONE-ALPES,AV DE JAGORNAC,07064,Le Cheylard,3004,07,07107,Le Cheylard,3389,06-autres communes et unités urbaines,1,159,43,225,8566,8330,2.83313325330132%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,C,101,80,1,52.7444870565676%,27.5167785234899%,16.0953978906999%,3.64333652924257%,30,25.7918552036199%,22.7109300095877%,44.907088,4.421455
2,111583,FRANCOIS TRUFFAUT,ILE-DE-FRANCE,2 RUE DE L ECOLE,91161,Chilly-Mazarin,20050,91,00851,Paris,10947378,03-Grande couronne,2,409,53,3216,45638,47066,-3.03403730931033%,De 40 à 50 000 entrées,,OUI,C,RDJPPR,FIXE,NON,B,469,278,70,55.0640366926489%,22.266222211083%,17.0204767036768%,5.64926439259129%,352,74.4241192411924%,59.6205418682172%,48.703333,2.314917
