régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
5,246522,LE PONT DES ARTS,HAUTS DE FRANCE,PLACE DOUMER,59378,Marcq-en-Barœul,39319,59,59702,Lille (partie française),1062844,04-Unités urbaines de 100 000 hbts ou plus,3,426,53,5950,215370,196905,9.37761864858688%,De 200 à 300 000 entrées,,OUI,C,JPPR,FIXE,NON,B,245,131,94,56.4523279482498%,26.8461270778017%,14.8552987219762%,1.84624625197233%,162,43.4438907028699%,35.4376313895232%,50.6668,3.075466
4,246763,L'ESTRAN,NOUVELLE AQUITAINE,PLACE CARNOT,17219,Marennes,6304,17,17206,Marennes-Hiers-Brouage,9948,06-autres communes et unités urbaines,1,206,52,935,22680,18792,20.6896551724138%,De 20 à 30 000 entrées,,OUI,E,JPPR,FIXE,NON,C,255,172,3,61.6092911345549%,21.2798445308162%,9.46696279844531%,7.6439015361836%,160,43.3295324971494%,39.792707754951%,45.821371,-1.108436
7,247550,MAISTRALE,CORSE,A ROTA,2A154,Marignana,112,2A,00000,Zone rurale,14183345,06-autres communes et unités urbaines,1,97,52,342,2039,1405,45.1245551601424%,De 2 à 5 000 entrées,,OUI,E,PR,FIXE,NON,R,152,107,1,70.5179282868526%,14.9402390438247%,10.7569721115538%,3.78486055776892%,109,63.963963963964%,65.3884462151394%,42.235245,8.804724
7,247565,SAINT-EXUPERY CINEMA,PROVENCE-ALPES-COTE D'AZUR,AVENUE JEAN MERMOZ,13054,Marignane,32735,13,00759,Marseille-Aix-en-Provence,1635844,04-Unités urbaines de 100 000 hbts ou plus,2,252,53,2707,39627,34567,14.638238782654%,De 30 à 40 000 entrées,,OUI,C,JP,FIXE,NON,B,271,202,45,41.9817927170868%,40.2095453566042%,15.0506356388709%,2.75802628743805%,141,27.2144741801734%,22.6028873087697%,43.419763,5.213706
8,248151,MARLYMAGES,GRAND EST,"1, RUE DE METZ",57447,Marly,10187,57,57701,Metz,294959,04-Unités urbaines de 100 000 hbts ou plus,1,146,53,705,24944,25528,-2.28768411156377%,De 20 à 30 000 entrées,,OUI,C,,FIXE,NON,B,307,226,18,65.6196979102007%,12.4974136147321%,18.0964204427892%,3.78646803227809%,181,54.5722713864307%,46.3273329195117%,49.06744,6.148929
2,248192,FONTENELLE,ILE-DE-FRANCE,10 RUE CARNOT,78372,Marly-le-Roi,16857,78,00851,Paris,10947378,03-Grande couronne,2,336,50,2209,42460,53676,-20.8957448394068%,De 40 à 50 000 entrées,,OUI,C,JP,FIXE,NON,B,243,183,74,65.3695646890115%,13.1152322387769%,16.9166079284447%,4.59859514376686%,167,65.8839779005525%,65.9431738084243%,48.871284,2.095564
4,248254,PLAZA,NOUVELLE AQUITAINE,32/36 BOULEVARD DE MARE,47157,Marmande,17797,47,00458,Marmande,29122,05-Unités urbaines de 20 000 à 100 000 hbts,4,513,52,5074,97538,94533,3.17878412829382%,De 80 à 100 000 entrées,,OUI,D,JPPR,FIXE,NON,C,451,345,85,46.518132613082%,37.4747787468907%,14.0950774519328%,1.9120111880945%,279,33.5623358254193%,16.7180877752987%,44.497638,0.168923
3,248763, ESPACE CULTUREL BEAUMARCHAIS,NORMANDIE,13 RUE DE LA REPUBLIQUE,76410,Maromme,10971,76,00755,Rouen,481277,04-Unités urbaines de 100 000 hbts ou plus,1,245,39,85,6450,4086,57.856093979442%,De 5 à 10 000 entrées,,NON,NON,,FIXE,NON,B,46,29,0,76.6220735785953%,15.3010033444816%,5.85284280936455%,2.22408026755853%,13,23.4567901234568%,24.6822742474916%,49.479355,1.042864
7,249441,PRADO,PROVENCE-ALPES-COTE D'AZUR,36 AVENUE DU PRADO,13055,Marseille,876602,13,00759,Marseille-Aix-en-Provence,1635844,04-Unités urbaines de 100 000 hbts ou plus,11,1433,53,17660,285191,265745,7.31754125195206%,De 200 à 300 000 entrées,,NON,NON,,FIXE,OUI,C,275,196,186,47.0780662854887%,37.3520350251338%,14.1619841935689%,1.40791449580869%,73,19.5293450524525%,14.8800417368744%,43.28385,5.384511
7,249451,BONNEVEINE,PROVENCE-ALPES-COTE D'AZUR,AVENUE DE HAMBOURG,13055,Marseille,876602,13,00759,Marseille-Aix-en-Provence,1635844,04-Unités urbaines de 100 000 hbts ou plus,5,806,53,9381,90989,94694,-3.91260269922065%,De 80 à 100 000 entrées,,NON,NON,,FIXE,NON,C,194,112,77,44.6406598157571%,38.6566452714313%,14.0088906625872%,2.69380425022448%,78,18.2899146038266%,18.6116376777855%,43.249625,5.389984
7,249471,PATHE MADELEINE,PROVENCE-ALPES-COTE D'AZUR,36 AVENUE DU MARECHAL FOCH,13055,Marseille,876602,13,00759,Marseille-Aix-en-Provence,1635844,04-Unités urbaines de 100 000 hbts ou plus,8,1358,53,11659,164805,160705,2.55125851715877%,De 150 à 200 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,409,250,172,50.0292958021557%,28.6500738498346%,16.9482318762741%,4.37239847173565%,258,63.061724077636%,52.8386411630433%,43.300347,5.399852
