film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://commons.wikimedia.org/wiki/Special:FilePath/Clark%20Gable%20and%20Vivien%20Leigh%20in%20Gone%20with%20the%20Wind.jpg,Victor Fleming,238
http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://commons.wikimedia.org/wiki/Special:FilePath/Clark%20Gable%20and%20Vivien%20Leigh%20in%20Gone%20with%20the%20Wind.jpg,Sam Wood,238
http://www.wikidata.org/entity/Q3589,The Manchurian Candidate,http://commons.wikimedia.org/wiki/Special:FilePath/Themanchuriancandidate-logo.svg,Jonathan Demme,125
http://www.wikidata.org/entity/Q4430,Cleopatra,http://commons.wikimedia.org/wiki/Special:FilePath/Cleopatra%20poster.jpg,Joseph L. Mankiewicz,241
http://www.wikidata.org/entity/Q4471,Delirious,http://commons.wikimedia.org/wiki/Special:FilePath/Delirious.png,Tom DiCillo,107
http://www.wikidata.org/entity/Q4479,Mirageman,http://commons.wikimedia.org/wiki/Special:FilePath/Mirageman.PNG,Ernesto Díaz Espinoza,90
http://www.wikidata.org/entity/Q5890,V for Vendetta,http://commons.wikimedia.org/wiki/Special:FilePath/V%20for%20Vendetta%20film.jpg,James McTeigue,132
http://www.wikidata.org/entity/Q6074,Star Wars: Episode VII – The Force Awakens,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Wars%20The%20Force%20Awakens.jpg,J. J. Abrams,138
http://www.wikidata.org/entity/Q11618,Eraserhead,http://commons.wikimedia.org/wiki/Special:FilePath/Eraserhead.jpg,David Lynch,89
http://www.wikidata.org/entity/Q11621,E.T. the Extra-Terrestrial,http://commons.wikimedia.org/wiki/Special:FilePath/E.T.%20figure%20at%20Madame%20Tussauds%20London.jpg,Steven Spielberg,115
http://www.wikidata.org/entity/Q13908,Hackers,http://commons.wikimedia.org/wiki/Special:FilePath/Hackers%20Iain%20Softley.svg,Iain Softley,107
http://www.wikidata.org/entity/Q16403,And Now for Something Completely Different,http://commons.wikimedia.org/wiki/Special:FilePath/And%20Now%20for%20Something%20Completely%20Different%20-%20US%20re-release%20poster.jpg,Ian MacNaughton,85
http://www.wikidata.org/entity/Q18331,Docking the Boat,http://commons.wikimedia.org/wiki/Special:FilePath/Monica%20Zetterlund%20brygga.jpg,Tage Danielsson,101
http://www.wikidata.org/entity/Q18395,Variety Lights,http://commons.wikimedia.org/wiki/Special:FilePath/Giulietta%20Masina%2C%20Peppino%20De%20Filippo%20e%20Gina%20Mascetti%20in%20%22Luci%20del%20variet%C3%A0%22%20%28Lattuada%2C%20Fellini%201951%29.jpg,Federico Fellini,100
http://www.wikidata.org/entity/Q18395,Variety Lights,http://commons.wikimedia.org/wiki/Special:FilePath/Giulietta%20Masina%2C%20Peppino%20De%20Filippo%20e%20Gina%20Mascetti%20in%20%22Luci%20del%20variet%C3%A0%22%20%28Lattuada%2C%20Fellini%201951%29.jpg,Alberto Lattuada,100
http://www.wikidata.org/entity/Q18397,The White Sheik,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Brunella%20Bovo%20in%20a%20scene%20from%20Lo%20sceicco%20bianco%2C%20a%201952%20film%20directed%20by%20Federico%20Fellini%201952%20-%20Touring%20Club%20Italiano%2004%201437.jpg,Federico Fellini,85
http://www.wikidata.org/entity/Q18399,I Vitelloni,http://commons.wikimedia.org/wiki/Special:FilePath/Vitelloni%20al%20bar.jpg,Federico Fellini,100
http://www.wikidata.org/entity/Q18402,La Strada,http://commons.wikimedia.org/wiki/Special:FilePath/La%20strada%20film.jpg,Federico Fellini,104
http://www.wikidata.org/entity/Q18403,Il bidone,http://commons.wikimedia.org/wiki/Special:FilePath/Il%20bidone%2C%20foto%20di%20scena%20Giulietta%20Masina%20e%20Richard%20Besehart.jpg,Federico Fellini,104
http://www.wikidata.org/entity/Q18405,Nights of Cabiria,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20Giulietta%20Masina%20in%20a%20scene%20from%20Le%20notti%20di%20Cabiria%2C%20a%201957%20film%20directed%20by%20Federico%20Fellini%201957%20-%20Touring%20Club%20Italiano%2004%201700.jpg,Federico Fellini,111
http://www.wikidata.org/entity/Q18407,La Dolce Vita,http://commons.wikimedia.org/wiki/Special:FilePath/Dolce%20vita1.gif,Federico Fellini,174
http://www.wikidata.org/entity/Q18409,Boccaccio '70,http://commons.wikimedia.org/wiki/Special:FilePath/Boccaccio%2070%20-%20movie%20poster%20-%201962.jpg,Federico Fellini,205
http://www.wikidata.org/entity/Q18409,Boccaccio '70,http://commons.wikimedia.org/wiki/Special:FilePath/Boccaccio%2070%20-%20movie%20poster%20-%201962.jpg,Luchino Visconti,205
http://www.wikidata.org/entity/Q18409,Boccaccio '70,http://commons.wikimedia.org/wiki/Special:FilePath/Boccaccio%2070%20-%20movie%20poster%20-%201962.jpg,Vittorio De Sica,205
http://www.wikidata.org/entity/Q18409,Boccaccio '70,http://commons.wikimedia.org/wiki/Special:FilePath/Boccaccio%2070%20-%20movie%20poster%20-%201962.jpg,Mario Monicelli,205
http://www.wikidata.org/entity/Q18411,Juliet of the Spirits,http://commons.wikimedia.org/wiki/Special:FilePath/Milo1965.jpg,Federico Fellini,145
http://www.wikidata.org/entity/Q18415,Spirits of the Dead,http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Fonda%20in%20Tre%20passi%20nel%20delirio.jpg,Federico Fellini,121
http://www.wikidata.org/entity/Q18415,Spirits of the Dead,http://commons.wikimedia.org/wiki/Special:FilePath/Jane%20Fonda%20in%20Tre%20passi%20nel%20delirio.jpg,Louis Malle,121
