régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
6;112151;THEATRE DE VERDURE;AUVERGNE-RHONE-ALPES;PLACE DE LA MAIRIE;7066;Chomérac;3178;7;7104;Chomérac;3178;06-autres communes et unités urbaines;1;400;5;6;1358;464;192.672413793103;Moins de 2000 entrées;;NON;NON;;ITINERANT;NON;I;6;6;0;100;0;0;0;0;0;44.7543898;4.69809029999999;44.7543898, 4.69809029999999
6;159923;MAJESTIC;AUVERGNE-RHONE-ALPES;1, PLACE VOLTAIRE;42095;Firminy;17126;42;753;Saint-Étienne;380055;04-Unités urbaines de 100 000 hbts ou plus;2;837;53;2356;43063;13011;230.973791407271;De 40 à 50 000 entrées;;NON;NON;;FIXE;NON;B;178;141;60;49.9040167181008;37.8198430248099;8.15979393968848;4.11634631740092;70;18.6766456880422;45.389679;4.28977;45.389679, 4.28977
6;441063;LES GENTIANES;AUVERGNE-RHONE-ALPES;AVENUE DE LA VALLEE D'OR;73306;Valloire;1096;73;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;1;334;53;438;10548;5502;91.7121046892039;De 10 à 20 000 entrées;;OUI;E;;FIXE;NON;R;174;155;83;57.8750981932443;33.1107619795758;6.16653574234093;2.84760408483896;66;15.9367635506677;45.164163;6.429287;45.164163, 6.429287
6;723800;CGR VILLEFRANCHE SUR SAONE;AUVERGNE-RHONE-ALPES;193 RUE DE LA QUARANTAINE;69264;Villefranche-sur-Saône;36419;69;758;Lyon;1720030;04-Unités urbaines de 100 000 hbts ou plus;10;1745;53;19639;302160;193795;55.9173353285688;De 300 à 450 000 entrées;CGR;NON;NON;;FIXE;OUI;B;209;173;170;32.2498537933968;52.1386038598543;11.7151363708863;3.89640597586262;22;1.69001541815089;45.989161;4.724226;45.989161, 4.724226
7;13423;LE MAZARIN;PROVENCE-ALPES-COTE D'AZUR;3TER RUE MAZARINE - 6 RUE LAROQU;13001;Aix-en-Provence;150358;13;759;Marseille - Aix-en-Provence;1630325;04-Unités urbaines de 100 000 hbts ou plus;3;438;53;4414;97659;52452;86.1873713109128;De 80 à 100 000 entrées;PATHE-GAUMONT;OUI;C;RDJPPR;FIXE;NON;B;208;152;130;64.1108128375955;3.41046179261175;23.8362804447294;8.64244492506331;196;98.0371912053994;43.526103;5.448686;43.526103, 5.448686
7;396771;LES TRAVAILLEURS SYNDIQUES;OCCITANIE;RUE JOSEPH NIVET;66179;Saint-Laurent-de-Cerdans;1050;66;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;1;176;49;70;1531;925;65.5135135135135;Moins de 2000 entrées;;NON;NON;;FIXE;NON;R;63;54;1;62.5088090204369;24.9471458773784;10.2184637068358;2.32558139534884;11;17.2656800563777;42.38271;2.614735;42.38271, 2.614735
7;439502;SOPHIA ANTIPOLIS;PROVENCE-ALPES-COTE D'AZUR;190 RUE FREDERIC MISTRAL;6152;Valbonne;13665;6;6701;Nice;966577;04-Unités urbaines de 100 000 hbts ou plus;1;230;40;110;5100;1650;209.090909090909;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;B;55;24;0;45.3933124849651;31.1282174645177;14.5056531152273;8.97281693528987;32;76.9064229011306;43.619739;7.039277;43.619739, 7.039277
9;118135;FRANCOIS TRUFFAUT;GRAND EST;7 RUE CARCANO;55122;Commercy;5578;55;55203;Commercy;5578;06-autres communes et unités urbaines;1;215;49;425;16129;10478;53.9320481007826;De 10 à 20 000 entrées;;OUI;E;;FIXE;NON;I;168;138;0;54.0871646835176;29.5641765824122;12.1030768147574;4.24558191931282;71;32.8381327888474;48.763489;5.589497;48.763489, 5.589497
9;133621;LE FOYER;BOURGOGNE-FRANCHE-COMTE;RUE ALFRED DORNIER;70198;Dampierre-sur-Salon;1258;70;0;Zone rurale;14908533;04-Unités urbaines de 100 000 hbts ou plus;1;168;44;183;5158;2907;77.4337805297558;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;R;88;70;0;61.4915667547246;24.283682178419;9.14448282869336;5.08026823816298;13;11.5423694371063;47.553711;5.676507;47.553711, 5.676507
1;3222;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;191911;75;851;Paris;10949158;01-Paris;11;1757;53;23490;625295;424464;47.3140242753213;De 450 à 700 000 entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;C;303;251;199;43.3402683697826;38.5165473195278;13.8836204115864;4.25956389910328;134;23.1472163086253;48.883938;2.328034;48.883938, 2.328034
