film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q204398,Octopussy,http://commons.wikimedia.org/wiki/Special:FilePath/Octopussy%20circus.jpg,John Glen,131
http://www.wikidata.org/entity/Q205321,Les Tueurs,http://commons.wikimedia.org/wiki/Special:FilePath/Killers001.jpg,Robert Siodmak,103
http://www.wikidata.org/entity/Q205447,Ocean's Eleven,http://commons.wikimedia.org/wiki/Special:FilePath/Pitt%20Clooney%20Damon.jpg,Steven Soderbergh,112
http://www.wikidata.org/entity/Q205506,Alias Gardelito,http://commons.wikimedia.org/wiki/Special:FilePath/Alias%20Gardelito.jpg,Lautaro Murúa,75
http://www.wikidata.org/entity/Q205506,Alias Gardelito,http://commons.wikimedia.org/wiki/Special:FilePath/Alias%20Gardelito.jpg,Lautaro Murúa,80
http://www.wikidata.org/entity/Q205694,Numéro dix-sept,http://commons.wikimedia.org/wiki/Special:FilePath/Leytonstone%20tube%20station%20-%20Hitchcock%20Gallery-%20Number%2017%20%281932%29%20%28geograph%204081879%29.jpg,Alfred Hitchcock,63
http://www.wikidata.org/entity/Q206576,Hugo Cabret,http://commons.wikimedia.org/wiki/Special:FilePath/Hugo%20logo.png,Martin Scorsese,126
http://www.wikidata.org/entity/Q206886,Préjudice,http://commons.wikimedia.org/wiki/Special:FilePath/Waltham%20on%20charles.jpg,Steven Zaillian,110
http://www.wikidata.org/entity/Q207482,1941,http://commons.wikimedia.org/wiki/Special:FilePath/Filming%20Spielbergs%20%221941%22%20%284971527550%29.jpg,Steven Spielberg,113
http://www.wikidata.org/entity/Q207536,Matrix Revolutions,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.2.png,Lilly Wachowski,129
http://www.wikidata.org/entity/Q207536,Matrix Revolutions,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.2.png,Lana Wachowski,129
http://www.wikidata.org/entity/Q207588,Tant qu'il y aura des hommes,http://commons.wikimedia.org/wiki/Special:FilePath/Burt%20Lancaster%20and%20Deborah%20Kerr%20in%20From%20Here%20to%20Eternity%20trailer.jpg,Fred Zinnemann,118
